timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1531558116270,1,Debug Sampler 3-1,200,OK,线程组 3 1-8,text,true,,203,0,20,20,0,0,0
1531558116320,0,Debug Sampler 3-3,200,OK,线程组 3 1-13,text,true,,202,0,20,20,0,0,0
1531558116321,0,Debug Sampler 3-1,200,OK,线程组 3 1-19,text,true,,203,0,20,20,0,0,0
1531558116340,1,Debug Sampler 3-1,200,OK,线程组 3 1-1,text,true,,203,0,20,20,0,0,0
1531558116341,0,Debug Sampler 3-2,200,OK,线程组 3 1-7,text,true,,202,0,20,20,0,0,0
1531558116355,0,Debug Sampler 3-1,200,OK,线程组 3 1-12,text,true,,203,0,20,20,0,0,0
1531558116365,0,Debug Sampler 3-3,200,OK,线程组 3 1-6,text,true,,202,0,20,20,0,0,0
1531558116375,0,Debug Sampler 3-2,200,OK,线程组 3 1-18,text,true,,203,0,20,20,0,0,0
1531558116417,0,Debug Sampler 3-2,200,OK,线程组 3 1-11,text,true,,203,0,20,20,0,0,0
1531558116418,0,Debug Sampler 3-1,200,OK,线程组 3 1-5,text,true,,202,0,20,20,0,0,0
1531558116425,0,Debug Sampler 3-3,200,OK,线程组 3 1-17,text,true,,203,0,20,20,0,0,0
1531558116455,0,Debug Sampler 3-1,200,OK,线程组 3 1-16,text,true,,203,0,20,20,0,0,0
1531558116456,0,Debug Sampler 3-2,200,OK,线程组 3 1-4,text,true,,203,0,20,20,0,0,0
1531558116475,1,Debug Sampler 3-3,200,OK,线程组 3 1-10,text,true,,203,0,20,20,0,0,0
1531558116506,0,Debug Sampler 3-2,200,OK,线程组 3 1-15,text,true,,202,0,20,20,0,0,0
1531558116507,0,Debug Sampler 3-3,200,OK,线程组 3 1-3,text,true,,203,0,20,20,0,0,0
1531558116515,0,Debug Sampler 3-1,200,OK,线程组 3 1-9,text,true,,202,0,20,20,0,0,0
1531558116555,0,Debug Sampler 3-3,200,OK,线程组 3 1-14,text,true,,202,0,20,20,0,0,0
1531558116565,0,Debug Sampler 3-1,200,OK,线程组 3 1-20,text,true,,203,0,20,20,0,0,0
1531558116565,0,Debug Sampler 3-1,200,OK,线程组 3 1-2,text,true,,203,0,20,20,0,0,0
1531558116566,0,Debug Sampler 3-2,200,OK,线程组 3 1-8,text,true,,203,0,20,20,0,0,0
1531558116615,0,Debug Sampler 3-1,200,OK,线程组 3 1-13,text,true,,203,0,20,20,0,0,0
1531558116615,0,Debug Sampler 3-2,200,OK,线程组 3 1-19,text,true,,202,0,20,20,0,0,0
1531558116635,1,Debug Sampler 3-2,200,OK,线程组 3 1-1,text,true,,202,0,20,20,0,0,0
1531558116636,0,Debug Sampler 3-3,200,OK,线程组 3 1-7,text,true,,203,0,20,20,0,0,0
1531558116655,0,Debug Sampler 3-2,200,OK,线程组 3 1-12,text,true,,202,0,20,20,0,0,0
1531558116665,0,Debug Sampler 3-1,200,OK,线程组 3 1-6,text,true,,203,0,20,20,0,0,0
1531558116675,0,Debug Sampler 3-3,200,OK,线程组 3 1-18,text,true,,202,0,20,20,0,0,0
1531558116715,0,Debug Sampler 3-3,200,OK,线程组 3 1-11,text,true,,203,0,20,20,0,0,0
1531558116717,0,Debug Sampler 3-2,200,OK,线程组 3 1-5,text,true,,203,0,20,20,0,0,0
1531558116725,0,Debug Sampler 3-1,200,OK,线程组 3 1-17,text,true,,203,0,20,20,0,0,0
1531558116755,0,Debug Sampler 3-2,200,OK,线程组 3 1-16,text,true,,203,0,20,20,0,0,0
1531558116755,0,Debug Sampler 3-3,200,OK,线程组 3 1-4,text,true,,203,0,20,20,0,0,0
1531558116776,0,Debug Sampler 3-1,200,OK,线程组 3 1-10,text,true,,202,0,20,20,0,0,0
1531558116806,0,Debug Sampler 3-3,200,OK,线程组 3 1-15,text,true,,202,0,20,20,0,0,0
1531558116806,0,Debug Sampler 3-1,200,OK,线程组 3 1-3,text,true,,203,0,20,20,0,0,0
1531558116816,0,Debug Sampler 3-2,200,OK,线程组 3 1-9,text,true,,203,0,20,20,0,0,0
1531558116855,0,Debug Sampler 3-1,200,OK,线程组 3 1-14,text,true,,202,0,20,20,0,0,0
1531558116865,0,Debug Sampler 3-2,200,OK,线程组 3 1-20,text,true,,203,0,20,20,0,0,0
1531558116865,0,Debug Sampler 3-2,200,OK,线程组 3 1-2,text,true,,202,0,20,20,0,0,0
1531558116866,0,Debug Sampler 3-3,200,OK,线程组 3 1-8,text,true,,203,0,20,20,0,0,0
1531558116916,0,Debug Sampler 3-2,200,OK,线程组 3 1-13,text,true,,202,0,20,20,0,0,0
1531558116916,0,Debug Sampler 3-3,200,OK,线程组 3 1-19,text,true,,203,0,20,20,0,0,0
